GFE_ID,SYSTEM_SITE,TTC_Species,CU_River,TTC_STOCK_MATCH,TTC_RECORD_MATCH,TTC_MATCH_COMMENT,TTC_METHOD,TTC_QUALITY,GFE_TYPE,SPECIES_QUALIFIED,Y_LAT,X_LONGT,CU_TYPE,FULL_CU_IN,POP_ID,IS_INDICATOR,cuid,cu_name_pse,pointid,streamid,indicator,stream_name_pse,latitude,longitude,PSE_source,X.1920,X.1921,X.1922,X.1923,X.1924,X.1925,X.1926,X.1927,X.1928,X.1929,X.1930,X.1931,X.1932,X.1933,X.1934,X.1935,X.1936,X.1937,X.1938,X.1939,X.1940,X.1941,X.1942,X.1943,X.1944,X.1945,X.1946,X.1947,X.1948,X.1949,X.1950,X.1951,X.1952,X.1953,X.1954,X.1955,X.1956,X.1957,X.1958,X.1959,X.1960,X.1961,X.1962,X.1963,X.1964,X.1965,X.1966,X.1967,X.1968,X.1969,X.1970,X.1971,X.1972,X.1973,X.1974,X.1975,X.1976,X.1977,X.1978,X.1979,X.1980,X.1981,X.1982,X.1983,X.1984,X.1985,X.1986,X.1987,X.1988,X.1989,X.1990,X.1991,X.1992,X.1993,X.1994,X.1995,X.1996,X.1997,X.1998,X.1999,X.2000,X.2001,X.2002,X.2003,X.2004,X.2005,X.2006,X.2007,X.2008,X.2009,X.2010,X.2011,X.2012,X.2013,X.2014,X.2015,X.2016,X.2017,X.2018,X.2019,X.2020,X.2021,X.2022,X.2023
2178,ISKUT RIVER,NA,Stikine,NA,NA,No current TTC Match,NA,NA,Stream,CK,56.74862595,-131.7831705,Current,CK-61,45136,N,1011,Stikine-Late Timing,1035,10170,N,ISKUT RIVER,56.74862595,-131.7831705,NuSEDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2119,KATETE RIVER,NA,Stikine,NA,NA,No current TTC Match,NA,NA,Stream,CK,56.66608323,-131.8159447,Current,CK-61,45489,N,1011,Stikine-Late Timing,1088,10171,N,KATETE RIVER,56.66608323,-131.8159447,NuSEDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2118,1960,1852,1690,453,NA,1490,1400,1390,4384,NA,2134,2445,1891,4010,2422,696,772,260,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2225,DUDIDONTU RIVER,Chinook,Taku,Taku River,Dudidontu Aerial Index,NA,Aerial survey,3,Stream,CK,58.78941351,-131.9852257,Current,CK-63,45167,Y,1006,Taku-Early Timing,644,10178,Y,DUDIDONTU RIVER,58.78941351,-131.9852257,TTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,40,18,NA,9,158,74,130,117,NA,475,413,287,243,204,820,804,768,1020,573,731,1810,943,807,527,482,479,834,644,1036,318,395,4,480,272,561,301,126,166,193,289,156,37,363,949,292,147,192,403
2224,NAHLIN RIVER,Chinook,Taku,Taku River,Nahlin Aerial Index,NA,Aerial survey,3,Stream,CK,58.77672495,-132.0933965,Current,CK-63,45164,Y,1006,Taku-Early Timing,1559,10176,Y,NAHLIN RIVER,58.77672495,-132.0933965,TTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,725,650,624,857,1531,2945,1246,391,951,2236,1612,1122,1535,1812,1658,1781,1821,2128,2418,2069,5415,3655,1294,532,728,935,1099,861,1787,471,955,277,1121,1033,1018,808,726,527,304,612,379,134,268,282,213,98,351,462
NA,NA,NA,Taku,NA,NA,No NuSEDS or TTC match,Sonar,1,NA,CK,NA,NA,NA,NA,NA,NA,1006,Taku-Early Timing,1560,10304,N,NAHLIN RIVER SONAR,58.778357,-132.039531,Aaron Foos (pers. comm.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160,2375,1931,4403,2518,2073,2849,3957
2228,TSETA CREEK,Chinook,Taku,Taku River,Tseta Aerial Index,NA,Aerial survey,3,Stream,CK,58.90605923,-131.9436671,Current,CK-63,45168,Y,1006,Taku-Early Timing,2306,10179,Y,TSETA CREEK,58.90605923,-131.9436671,TTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,258,228,179,176,303,193,180,66,494,172,224,313,491,614,786,1201,648,360,221,160,202,192,436,906,215,199,199,497,145,128,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2233,HACKETT RIVER,NA,Taku,NA,NA,No current TTC Match,NA,NA,Stream,CK,58.26374657,-131.8121262,Current,CK-65,45171,N,1008,Taku-Late Timing,888,10191,N,HACKETT RIVER,58.26374657,-131.8121262,NuSEDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,643,82,1021,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2221,KOWATUA RIVER,Chinook,Taku,Taku River,Kowatua Aerial Index,NA,Aerial survey,3,Stream,CK,58.7716407,-132.2657128,Current,CK-65,45159,Y,1008,Taku-Late Timing,1197,10186,Y,KOWATUA RIVER,58.7716407,-132.2657128,TTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,580,490,430,450,560,289,171,279,699,548,570,1010,601,614,570,782,1584,410,550,1620,1360,473,561,702,1050,945,850,828,833,1180,262,690,408,716,377,402,708,384,622,303,272,202,361,505,544,425,616
2212,TATSATUA RIVER,Chinook,Taku,Taku River,Tatsamenie Aerial Index,Keep NuSEDS name.,Aerial survey,3,Stream,CK,58.53473781,-132.1429556,Current,CK-65,45155,Y,1008,Taku-Late Timing,2232,10185,Y,TATSATUA RIVER,58.464,-132.393,TTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,573,550,750,905,839,387,236,616,848,886,678,1272,1228,1068,1164,1624,1491,1106,678,2011,1148,675,431,953,1024,1145,1000,1396,1146,908,390,1083,633,821,917,660,438,376,434,92,179,121,330,390,358,527,505
2216,NAKINA RIVER,Chinook,Taku,Taku River,Nakina Aerial Index,Y_lat and X_long updated,Aerial survey,3,Stream,CK,59.00737,-133.15403,Current,CK-64,45158,Y,1007,Taku-Mid Timing,1564,10192,Y,NAKINA RIVER,59.00737,-133.15403,TTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,3000,3850,1620,2110,4500,5110,2533,968,1887,2647,3868,2906,4500,5141,7917,5610,5750,6490,4792,3943,7720,6095,2720,1900,2907,1552,4066,2126,4091,1213,1900,NA,1437,1698,1730,1380,1300,1623,1040,1340,800,301,765,1070,1249,1034,1263,1542
