streamid,Year,SPECIES_QUALIFIED,cu_name_pse,cuid,stream_name_pse,PSE_source,TTC_Species,TTC_STOCK_MATCH,TTC_RECORD_MATCH,TTC_METHOD,TTC_QUALITY,POP_ID,IS_INDICATOR,latitude,longitude,Spn_TTC,Spn_Combined
10128,1971,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1972,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1973,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1974,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1975,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1976,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1977,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1978,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1979,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1980,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1981,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1982,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1983,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1984,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
