CU_NAME,Species_CU_INDEX,DESCR,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,SPECIES,Year,INDEX_YN,ESTIMATE_STAGE,ESTIMATE_CLASSIFICATION,NO_INSPECTIONS_USED,ESTIMATE_METHOD,POP_ID,MAX_ESTIMATE,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURNS,ENUMERATION_METHOD1,ENUMERATION_METHOD2,ENUMERATION_METHOD3,ENUMERATION_METHOD4,ENUMERATION_METHOD5,ENUMERATION_METHOD6,EstQual
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1990,CRAIG RIVER,Coho,1990,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,810,NA,NA,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1989,CRAIG RIVER,Coho,1989,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,992,NA,NA,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1985,CRAIG RIVER,Coho,1985,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,735,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1984,CRAIG RIVER,Coho,1984,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1992,CRAIG RIVER,Coho,1992,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,949,NA,NA,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2008,CRAIG RIVER,Coho,2008,Y,PRELIMINARY,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,535,NA,NA,535,NA,NA,NA,NA,535,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2009,CRAIG RIVER,Coho,2009,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,475,NA,NA,475,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2010,CRAIG RIVER,Coho,2010,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,31,NA,NA,31,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2011,CRAIG RIVER,Coho,2011,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,459,NA,NA,459,NA,NA,NA,NA,459,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2013,CRAIG RIVER,Coho,2013,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,675,NA,NA,675,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2014,CRAIG RIVER,Coho,2014,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,212,NA,NA,212,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,M
