SPECIES,Stock,Series,Year,Value,TableSource,Method
Chinook,Taku River,Canadian Catch,1997,"2,939",D.7,
Chinook,Taku River,Canadian Catch,1998,"1,272",D.7,
Chinook,Taku River,Canadian Catch,1999,"1,640",D.7,
Chinook,Taku River,Canadian Catch,2000,"3,043",D.7,
Chinook,Taku River,Canadian Catch,2001,"2,863",D.7,
Chinook,Taku River,Canadian Catch,2002,"3,014",D.7,
Chinook,Taku River,Canadian Catch,2003,"3,679",D.7,
Chinook,Taku River,Canadian Catch,2004,"3,953",D.7,
Chinook,Taku River,Canadian Catch,2005,"7,716",D.7,
Chinook,Taku River,Canadian Catch,2006,"8,334",D.7,
Chinook,Taku River,Canadian Catch,2007,"2,542",D.7,
Chinook,Taku River,Canadian Catch,2008,"2,418",D.7,
Chinook,Taku River,Canadian Catch,2009,"7,036",D.7,
Chinook,Taku River,Canadian Catch,2010,"5,469",D.7,
Chinook,Taku River,Canadian Catch,2011,"3,277",D.7,
Chinook,Taku River,Canadian Catch,2012,"2,965",D.7,
Chinook,Taku River,Canadian Catch,2013,738,D.7,
Chinook,Taku River,Canadian Catch,2014,"2,472",D.7,
Chinook,Taku River,Canadian Catch,2015,"2,447",D.7,
Chinook,Taku River,Canadian Catch,2016,"1,630",D.7,
Chinook,Taku River,Canadian Catch,2017,250,D.7,
Chinook,Taku River,Canadian Catch,2018,7,D.7,
Chinook,Taku River,Canadian Catch,2019,10,D.7,
Chinook,Taku River,Canadian Catch,2020,94,D.7,
Chinook,Taku River,Canadian Catch,2021,40,D.7,
Chinook,Taku River,Canadian Catch,2022,33,D.7,
Chinook,Taku River,Canadian Catch,2023,25,D.7,
Chinook,Taku River,Canadian Catch,2024,22,D.7,
Chinook,Taku River,Run Estimate,1989,"41,561",D.7,
Chinook,Taku River,Run Estimate,1990,"53,748",D.7,
Chinook,Taku River,Run Estimate,1991,"53,122",D.7,
Chinook,Taku River,Run Estimate,1992,"57,755",D.7,
Chinook,Taku River,Run Estimate,1993,"68,069",D.7,
Chinook,Taku River,Run Estimate,1994,"50,852",D.7,
Chinook,Taku River,Run Estimate,1995,"35,557",D.7,
Chinook,Taku River,Run Estimate,1996,"82,518",D.7,
Chinook,Taku River,Run Estimate,1997,"117,877",D.7,
Chinook,Taku River,Run Estimate,1998,"32,311",D.7,
Chinook,Taku River,Run Estimate,1999,"18,426",D.7,
Chinook,Taku River,Run Estimate,2000,"38,040",D.7,
Chinook,Taku River,Run Estimate,2001,"49,407",D.7,
Chinook,Taku River,Run Estimate,2002,"58,058",D.7,
Chinook,Taku River,Run Estimate,2003,"40,114",D.7,
Chinook,Taku River,Run Estimate,2004,"78,985",D.7,
Chinook,Taku River,Run Estimate,2005,"46,315",D.7,
Chinook,Taku River,Run Estimate,2006,"50,525",D.7,
Chinook,Taku River,Run Estimate,2007,"17,291",D.7,
Chinook,Taku River,Run Estimate,2008,"29,063",D.7,
Chinook,Taku River,Run Estimate,2009,"29,797",D.7,
Chinook,Taku River,Run Estimate,2010,"34,238",D.7,
Chinook,Taku River,Run Estimate,2011,"22,954",D.7,
Chinook,Taku River,Run Estimate,2012,"19,682",D.7,
Chinook,Taku River,Run Estimate,2013,"18,745",D.7,
Chinook,Taku River,Run Estimate,2014,"26,004",D.7,
Chinook,Taku River,Run Estimate,2015,"26,014",D.7,
Chinook,Taku River,Run Estimate,2016,"10,807",D.7,
Chinook,Taku River,Run Estimate,2017,"8,464",D.7,
Chinook,Taku River,Run Estimate,2018,"7,278",D.7,
Chinook,Taku River,Run Estimate,2019,"11,568",D.7,
Chinook,Taku River,Run Estimate,2020,"15,687",D.7,
Chinook,Taku River,Run Estimate,2021,"11,384",D.7,
Chinook,Taku River,Run Estimate,2022,"12,755",D.7,
Chinook,Taku River,Run Estimate,2023,"14,780",D.7,
Chinook,Taku River,Run Estimate,2024,"24,540",D.7,
Chinook,Taku River,US Harvest,1989,NA,D.7,
Chinook,Taku River,US Harvest,1990,NA,D.7,
Chinook,Taku River,US Harvest,1991,NA,D.7,
Chinook,Taku River,US Harvest,1992,NA,D.7,
Chinook,Taku River,US Harvest,1993,NA,D.7,
Chinook,Taku River,US Harvest,1994,NA,D.7,
Chinook,Taku River,US Harvest,1995,"6,263",D.7,
Chinook,Taku River,US Harvest,1996,"6,280",D.7,
Chinook,Taku River,US Harvest,1997,"8,325",D.7,
Chinook,Taku River,US Harvest,1998,"2,605",D.7,
Chinook,Taku River,US Harvest,1999,"4,019",D.7,
Chinook,Taku River,US Harvest,2000,"3,472",D.7,
Chinook,Taku River,US Harvest,2001,"3,883",D.7,
Chinook,Taku River,US Harvest,2002,"3,282",D.7,
Chinook,Taku River,US Harvest,2003,"2,768",D.7,
Chinook,Taku River,US Harvest,2004,"3,696",D.7,
Chinook,Taku River,US Harvest,2005,"19,019",D.7,
Chinook,Taku River,US Harvest,2006,"11,334",D.7,
Chinook,Taku River,US Harvest,2007,"1,359",D.7,
Chinook,Taku River,US Harvest,2008,"1,123",D.7,
Chinook,Taku River,US Harvest,2009,"5,309",D.7,
Chinook,Taku River,US Harvest,2010,"1,546",D.7,
Chinook,Taku River,US Harvest,2011,"1,139",D.7,
Chinook,Taku River,US Harvest,2012,"1,405",D.7,
Chinook,Taku River,US Harvest,2013,648,D.7,
Chinook,Taku River,US Harvest,2014,"1,320",D.7,
Chinook,Taku River,US Harvest,2015,784,D.7,
Chinook,Taku River,US Harvest,2016,824,D.7,
Chinook,Taku River,US Harvest,2017,179,D.7,
Chinook,Taku River,US Harvest,2018,50,D.7,
Chinook,Taku River,US Harvest,2019,229,D.7,
Chinook,Taku River,US Harvest,2020,323,D.7,
Chinook,Taku River,US Harvest,2021,333,D.7,
Chinook,Taku River,US Harvest,2022,207,D.7,
Chinook,Taku River,US Harvest,2023,267,D.7,
Chinook,Taku River,US Harvest,2024,374,D.7,
Chinook,Taku River,Terminal Run,1989,NA,D.7,
Chinook,Taku River,Terminal Run,1990,NA,D.7,
Chinook,Taku River,Terminal Run,1991,NA,D.7,
Chinook,Taku River,Terminal Run,1992,NA,D.7,
Chinook,Taku River,Terminal Run,1993,NA,D.7,
Chinook,Taku River,Terminal Run,1994,NA,D.7,
Chinook,Taku River,Terminal Run,1995,"41,820",D.7,
Chinook,Taku River,Terminal Run,1996,"88,798",D.7,
Chinook,Taku River,Terminal Run,1997,"126,202",D.7,
Chinook,Taku River,Terminal Run,1998,"34,916",D.7,
Chinook,Taku River,Terminal Run,1999,"22,445",D.7,
Chinook,Taku River,Terminal Run,2000,"41,512",D.7,
Chinook,Taku River,Terminal Run,2001,"53,290",D.7,
Chinook,Taku River,Terminal Run,2002,"61,340",D.7,
Chinook,Taku River,Terminal Run,2003,"42,882",D.7,
Chinook,Taku River,Terminal Run,2004,"82,681",D.7,
